Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513702748,0.0014245293966953,26.84,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513702822,0.0014275173530562003,26.896,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513702886,0.0014281534050345,26.905,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513702951,0.0014281481842405997,26.904,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703015,0.0014277568378745,26.903,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703079,0.0014270220999533,26.889,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703143,0.0014261041176412003,26.889,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703207,0.0014248785152686,26.85,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703271,0.0014290414999964,26.931,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703336,0.0014299146749140001,26.964,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703400,0.0014296743799131002,26.953,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513703464,0.0014282066545133001,26.924,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
