Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513979265,0.0033825396840717   ,48.811,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979336,0.0033931109,48.933,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979405,0.0033955013809642   ,48.96 ,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979477,0.0034026836,49.042,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979548,0.0034049108410835   ,48.924,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979616,0.0034097052,48.643,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979685,0.0034184582,48.525,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979754,0.0034159486,48.504,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979826,0.0034153539,48.42 ,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979895,0.003418879,48.486,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513979961,0.003420325229956    ,48.507,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980040,0.0034186922,48.414,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980105,0.0034165548,48.323,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980169,0.003403125,48.106,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980233,0.0033964138,48.126,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980297,0.0034111667842402   ,48.347,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980362,0.003400727,48.274,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
